,companyName,Ranking Actual,craftWebsite,imgUrl
71,Allstate,72,https://craft.co/allstate,https://uploads4.craft.co/uploads/company/logo/104xx/10470/normal_ebaab6e0cfbc8cfd.jpeg
72,New York Life Insurance,73,https://craft.co/new-york-life-insurance-company,https://uploads1.craft.co/uploads/company/logo/1287xx/128722/normal_31f3a3cc14c332cd.png
73,Nationwide,74,https://craft.co/nationwide,
74,Best Buy,75,https://craft.co/best-buy,https://uploads2.craft.co/uploads/company/logo/149xx/14913/normal_20ff0c7e57d37cc9.jpg
75,United Airlines Holdings,76,https://craft.co/united-airlines,https://uploads4.craft.co/uploads/company/logo/1694xx/169402/normal_8c1a5e0c0d4b1d47.jpg
76,Liberty Mutual Insurance Group,77,https://craft.co/liberty-mutual-insurance,https://uploads4.craft.co/uploads/company/logo/1231xx/123150/normal_4246494cb7ed3fc2.jpg
77,Dow,78,https://craft.co/dow,https://uploads4.craft.co/uploads/company/logo/18xx/1816/normal_d95575f68e611c8d.jpg
78,Tyson Foods,79,https://craft.co/tyson-foods,https://uploads5.craft.co/uploads/company/logo/1136xx/113684/normal_a134dfefcfc8d60c.jpeg
79,TJX,80,https://craft.co/the-tjx,https://uploads4.craft.co/uploads/company/logo/1142xx/114213/normal_8f1d8a6edeb4150b.png
80,TIAA,81,https://craft.co/tiaa-cref,https://uploads2.craft.co/uploads/company/logo/915xx/91592/normal_6eb0fff5a806c314.jpg
81,Oracle,82,https://craft.co/oracle,https://uploads3.craft.co/uploads/company/logo/167xx/16739/normal_2d0898eaa03f24e4.jpg
82,General Dynamics,83,https://craft.co/general-dynamics,https://uploads4.craft.co/uploads/company/logo/18xx/1822/normal_3a1790d95fcd297e.jpg
83,Deere,84,https://craft.co/john-deere,
84,Nike,85,https://craft.co/nike,https://uploads1.craft.co/uploads/company/logo/19xx/1973/normal_49e8c85a3a06301e.png
85,Progressive,86,https://craft.co/progressive-insurance,https://uploads4.craft.co/uploads/company/logo/20xx/2009/normal_bb690444dd5a8471.png
86,Publix Super Markets,87,https://craft.co/publix,https://uploads1.craft.co/uploads/company/logo/1169xx/116957/normal_305e249e0fe1854e.jpeg
87,Coca-Cola,88,https://craft.co/coca-cola-bottling-co-consolidated,https://uploads1.craft.co/uploads/company/logo/120xx/12013/normal_AAEAAQAAAAAAAAOoAAAAJGU5ZTJlY2M4LTVkNTMtNGIwOS1hZmVmLWJhOTA5MTZlZDQ3OQ.png
88,Massachusetts Mutual Life Insurance,89,https://craft.co/massachusetts-mutual-life-insurance-company,https://uploads1.craft.co/uploads/company/logo/2566xx/256644/normal_3bc94c045c2c18c6.jpg
89,Tech Data,90,https://craft.co/tech-data,https://uploads3.craft.co/uploads/company/logo/132xx/13232/normal_9c7da04632fa372e.jpg
90,World Fuel Services,91,https://craft.co/world-fuel-services,https://uploads4.craft.co/uploads/company/logo/119xx/11905/normal_b61f6f18361c1326.png
91,Honeywell International,92,https://craft.co/honeywell,https://uploads2.craft.co/uploads/company/logo/18xx/1830/normal_ba70ff995d9c526f.jpg
92,ConocoPhillips,93,https://craft.co/conocophillips,https://uploads1.craft.co/uploads/company/logo/921xx/92124/normal_8eb80eba143bf005.jpeg
93,USAA,94,https://craft.co/usaa,https://uploads5.craft.co/uploads/company/logo/276xx/27638/normal_8d6d0e57a46433d3.jpg
94,Exelon,95,https://craft.co/exelon,https://uploads1.craft.co/uploads/company/logo/932xx/93278/normal_b988c10d350bb9f4.jpg
95,Northrop Grumman,96,https://craft.co/northrop-grumman,https://uploads1.craft.co/uploads/company/logo/627xx/62760/normal_01b958d0968251cd.jpg
96,Capital One Financial,97,https://craft.co/capital-one,https://uploads3.craft.co/uploads/company/logo/19xx/1990/normal_03abfef897cf0dfe.png
97,Plains GP Holdings,98,https://craft.co/plains-gp-holdings,https://uploads3.craft.co/uploads/company/logo/2566xx/256629/normal_a9f77de94cb45ec5.png
98,AbbVie,99,https://craft.co/abbvie,https://uploads3.craft.co/uploads/company/logo/1172xx/117226/normal_d4b3b56737d5a828.jpeg
99,StoneX Group,100,https://craft.co/stonex,https://uploads5.craft.co/uploads/company/logo/1160xx/116022/normal_7a5d6c7837c24a2c.jpg
100,Enterprise Products Partners,101,https://craft.co/enterprise-products-partners,https://uploads2.craft.co/uploads/company/logo/1680xx/168051/normal_a3e4b97848f690ab.png
101,Enterprise Products Partners,101,https://craft.co/enterprise-products-partners,https://uploads2.craft.co/uploads/company/logo/1680xx/168051/normal_a3e4b97848f690ab.png
102,3M,103,https://craft.co/3m,https://uploads5.craft.co/uploads/company/logo/18xx/1809/normal_9611e5208df49bc8.jpeg
103,Enterprise Products Partners,101,https://craft.co/enterprise-products-partners,https://uploads2.craft.co/uploads/company/logo/1680xx/168051/normal_a3e4b97848f690ab.png
104,Northwestern Mutual,102,https://craft.co/northwestern-mutual,https://uploads2.craft.co/uploads/company/logo/474xx/47468/normal_e9f6daac1101a36e.jpeg
105,3M,103,https://craft.co/3m,https://uploads5.craft.co/uploads/company/logo/18xx/1809/normal_9611e5208df49bc8.jpeg
106,Abbott Laboratories,104,https://craft.co/abbott-436,https://uploads2.craft.co/uploads/company/logo/15631xx/1563107/normal_9320cbb41958d4d5.JPEG
107,CHS,105,https://craft.co/chs,https://uploads3.craft.co/uploads/company/logo/121xx/12111/normal_mq1.jpg
