,companyName,Ranking Actual,craftWebsite,imgUrl
68,Pacific Life,269,https://craft.co/pacific-life,https://uploads4.craft.co/uploads/company/logo/2563xx/256311/normal_68a688fc2514d60a.jpg
69,Vistra Energy,270,https://craft.co/vistra-energy,https://uploads1.craft.co/uploads/company/logo/14057xx/1405753/normal_8e3c43408d73799e.jpeg
70,Charles Schwab,271,https://craft.co/charles-schwab,https://uploads2.craft.co/uploads/company/logo/19xx/1991/normal_6a2d1de0f3d9a70f.jpg
71,Crown Holdings,272,https://craft.co/crown-holdings,https://uploads1.craft.co/uploads/company/logo/1174xx/117437/normal_5cd8d3b4fc963dca.png
72,Ally Financial,273,https://craft.co/ally-financial,https://uploads5.craft.co/uploads/company/logo/680xx/68085/normal_3e7ebeef20275e04.jpg
73,Laboratory Corp. of America,274,https://craft.co/laboratory-corporation-of-america-holdings,https://uploads4.craft.co/uploads/company/logo/115xx/11525/normal_e3de5cc32860110e.png
74,Live Nation Entertainment,275,https://craft.co/live-nation-entertainment,https://uploads4.craft.co/uploads/company/logo/459xx/45940/normal_a7dd1296efb40a70.png
75,Xcel Energy,276,https://craft.co/xcel-energy,https://uploads4.craft.co/uploads/company/logo/119xx/11907/normal_871f84995ff0b47f.jpg
76,Corning,277,https://craft.co/corning,https://uploads5.craft.co/uploads/company/logo/18xx/1813/normal_f40205f45c10ac4b.jpg
77,W.W. Grainger,278,https://craft.co/ww.-grainger,
78,Ball,279,https://craft.co/ball,https://uploads2.craft.co/uploads/company/logo/1169xx/116982/normal_1a5cc89b10814dbf.jpg
79,Fox,280,https://craft.co/fox-corporation,https://uploads5.craft.co/uploads/company/logo/20xx/2092/normal_9bef075b92e3ae69.jpeg
80,Universal Health Services,281,https://craft.co/universal-health-services,https://uploads3.craft.co/uploads/company/logo/666xx/66622/normal_7ba736a410f68c9a.jpg
81,Baxter International,282,https://craft.co/baxter-international,https://uploads1.craft.co/uploads/company/logo/20xx/2049/normal_neLaa43i.jpeg
82,Norfolk Southern,283,https://craft.co/norfolk-southern,https://uploads5.craft.co/uploads/company/logo/1500xx/150056/normal_4c6b43a5b1f97546.png
83,Navistar International,284,https://craft.co/navistar,https://uploads4.craft.co/uploads/company/logo/114xx/11445/normal_9632a47a3ac0d288.jpg
84,Adobe,285,https://craft.co/adobe,https://uploads4.craft.co/uploads/company/logo/2xx/281/normal_fbe9ab25ab6e86cd.png
85,J.C. Penney,286,https://craft.co/j-c-penny,
86,Discovery,287,https://craft.co/discovery-communications,https://uploads3.craft.co/uploads/company/logo/20xx/2078/normal_75395b3d4edaecd4.png
87,Keurig Dr Pepper,288,https://craft.co/keurig-dr-pepper,https://uploads5.craft.co/uploads/company/logo/12257xx/1225784/normal_4352f6b8a83acb64.jpg
88,Leidos Holdings,289,https://craft.co/leidos,https://uploads2.craft.co/uploads/company/logo/1988xx/198860/normal_1b7bf1977e4af9d4.jpg
89,IQVIA Holdings,290,https://craft.co/iqvia,https://uploads3.craft.co/uploads/company/logo/13508xx/1350861/normal_757558f571afef0b.png
90,Reliance Steel & Aluminum,291,https://craft.co/reliance-steel-aluminum,https://uploads4.craft.co/uploads/company/logo/111xx/11155/normal_5cf7b89dd876b1e6.png
91,Nvidia,292,https://craft.co/nvidia,https://uploads5.craft.co/uploads/company/logo/180xx/18091/normal_3c463525d69fe345.jpg
92,Entergy,293,https://craft.co/entergy-corporation,https://uploads3.craft.co/uploads/company/logo/105xx/10536/normal_72b47ea7074da023.jpg
93,FirstEnergy,294,https://craft.co/firstenergy,https://uploads1.craft.co/uploads/company/logo/110xx/11062/normal_7b4becf83af8e6c0.jpg
94,eBay,295,https://craft.co/ebay,https://uploads3.craft.co/uploads/company/logo/148xx/14820/normal_NCDCFXva.jpeg
95,Boston Scientific,296,https://craft.co/boston-scientific,https://uploads3.craft.co/uploads/company/logo/103xx/10380/normal_53e8a9cf46d490df.jpg
96,Office Depot,297,https://craft.co/office-depot,https://uploads1.craft.co/uploads/company/logo/879xx/87961/normal_501ec31aa73c7501.jpg
97,Molson Coors Beverage,298,https://craft.co/molson-coors,https://uploads5.craft.co/uploads/company/logo/20xx/2036/normal_019777853cc87d75.jpg
98,Steel Dynamics,299,https://craft.co/steel-dynamics,https://uploads5.craft.co/uploads/company/logo/2029xx/202974/normal_d7fe4f2fbe7d4b34.png
99,Mutual of Omaha Insurance,300,https://craft.co/mutual-of-omaha,https://uploads3.craft.co/uploads/company/logo/2563xx/256319/normal_306d7a574d16f80d.jpg
100,Sonic Automotive,301,https://craft.co/sonic-automotive,https://uploads3.craft.co/uploads/company/logo/1558xx/155891/normal_0fbf97e6e617ef7e.jpg
101,Alcoa,302,https://craft.co/alcoa,https://uploads4.craft.co/uploads/company/logo/1187xx/118775/normal_edc1118a29742f26.jpg
102,Fidelity National Information Services,303,https://craft.co/fidelity-national-information-services,
103,Henry Schein,304,https://craft.co/henry-schein,https://uploads1.craft.co/uploads/company/logo/1197xx/119759/normal_a5f57c1d9a8ba715.jpg
