,companyName,Ranking Actual,craftWebsite,imgUrl,color_rgb,numberOfColor
32,General Electric,33,https://craft.co/general-electric,,0,0
33,Dell Technologies,34,https://craft.co/dell-technologies,https://uploads5.craft.co/uploads/company/logo/171xx/17117/normal_1b5274813a8c12d7.jpeg,"[((0, 118, 205), 9412), ((255, 255, 255), 4850), ((144, 183, 226), 116), ((0, 64, 196), 22)]",4
34,Johnson & Johnson,35,https://craft.co/johnson-johnson,https://uploads2.craft.co/uploads/company/logo/20xx/2062/normal_279e394abfdc683c.png,"[((200, 32, 47), 10101), ((255, 255, 255), 4036), ((228, 147, 154), 262)]",3
35,State Farm Insurance,36,https://craft.co/state-farm,https://uploads1.craft.co/uploads/company/logo/1684xx/168429/normal_21d136bcfe0a5da4.jpg,"[((225, 39, 27), 12479), ((255, 248, 244), 1217), ((158, 84, 73), 666), ((255, 157, 162), 20), ((175, 155, 148), 11), ((69, 5, 3), 7)]",6
36,Target,37,https://craft.co/target,https://uploads2.craft.co/uploads/company/logo/118xx/11811/normal_1f135c113bac2fc0.jpg,"[((255, 255, 255), 12013), ((204, 0, 1), 2055), ((225, 125, 125), 332)]",3
37,IBM,38,https://craft.co/ibm,https://uploads2.craft.co/uploads/company/logo/11xx/1199/normal_7ff6e111cecc33bf.png,"[((0, 0, 0), 12413), ((255, 255, 255), 1503), ((92, 92, 92), 484)]",3
38,Raytheon Technologies,39,https://craft.co/raytheon-technologies,https://uploads5.craft.co/uploads/company/logo/14811xx/1481191/normal_566a82fbd6175192.png,"[((255, 255, 255), 10289), ((206, 17, 38), 3796), ((224, 112, 120), 314)]",3
39,Boeing,40,https://craft.co/boeing,https://uploads4.craft.co/uploads/company/logo/18xx/1810/normal_60739730463a2c15.jpg,"[((53, 141, 204), 8582), ((29, 35, 87), 4611), ((249, 255, 255), 1008), ((76, 200, 228), 195), ((84, 95, 101), 2), ((50, 90, 185), 2)]",6
40,Freddie Mac,41,https://craft.co/freddie-mac,https://uploads4.craft.co/uploads/company/logo/2493xx/249336/normal_5269573b254fc4a1.png,"[((255, 255, 255), 13625), ((115, 205, 237), 429), ((119, 181, 43), 298), ((180, 215, 139), 39), ((0, 133, 211), 8)]",5
41,Centene,42,https://craft.co/centene,https://uploads4.craft.co/uploads/company/logo/1143xx/114347/normal_CENTENE_rgb.png,"[((255, 255, 255), 5835), ((15, 79, 123), 479), ((121, 157, 180), 86)]",3
42,United Parcel Service,43,https://craft.co/parcel-122,,0,0
43,Lowe's,44,https://craft.co/lowes,https://uploads3.craft.co/uploads/company/logo/2337xx/233721/normal_da6e52c6066fc8bf.png,"[((0, 74, 144), 13043), ((255, 255, 255), 1257), ((86, 143, 187), 94), ((0, 15, 109), 5)]",4
44,Intel,45,https://craft.co/intel,,0,0
45,Facebook,46,https://craft.co/facebook,https://uploads4.craft.co/uploads/company/logo/2xx/229/normal_02f74669c04c53c5.jpg,"[((247, 247, 247), 13982), ((67, 67, 67), 399), ((154, 154, 154), 19)]",3
46,FedEx,47,https://craft.co/fedex-corporation,https://uploads4.craft.co/uploads/company/logo/21xx/2104/normal_43265946c953a0f0.png,"[((255, 255, 255), 13340), ((58, 44, 120), 599), ((229, 111, 42), 390), ((168, 162, 195), 38), ((240, 174, 136), 32)]",5
47,MetLife,48,https://craft.co/metlife,https://uploads5.craft.co/uploads/company/logo/20xx/2005/normal_d1dcfa85a753e8e4.jpg,"[((255, 255, 255), 10091), ((34, 142, 206), 2255), ((166, 206, 81), 1522), ((54, 54, 54), 434), ((155, 155, 155), 67), ((200, 217, 162), 29), ((83, 146, 103), 2)]",7
48,Walt Disney,49,https://craft.co/the-walt-disney,,0,0
49,Procter & Gamble,50,https://craft.co/procter-gamble,https://uploads1.craft.co/uploads/company/logo/20xx/2068/normal_8ddff36d8abe88a8.png,"[((255, 255, 255), 1768), ((0, 62, 135), 1237), ((34, 134, 200), 573), ((116, 210, 246), 22)]",4
